====================================
args:  Namespace(batch_size=50, encoder_layer=3, decoder_layer=4, d_layer=3, hidden_dim=32, noise_dim=15, dropout=0, opt='adam', seed=7777, data_dir='./datasets/Dataset_Dynamic_Trend_Preserve/County/train_test/', data_name='county_increasing_and_trough', opt_scheduler='step', opt_decay_step=80, opt_decay_rate=0.8, weight_decay=0, lr=0.001, epochs=500, ad_loss_weight=20, experiment_name='DT-VAE-GAN_county_increasing_and_trough', parent_dir='./experiments', dis_recon_loss_weight=0.8, recon_loss_weight=1.0)
====================================
[INFO] Using dataset: county_increasing_and_trough, Using device: cuda:0, Using seed: 7777
189, reconstruction_loss: -103.8448 kl_div: 30.0748, bce loss: 86.6092
190, reconstruction_loss: -111.2374 kl_div: 28.3066, bce loss: 91.4906
191, reconstruction_loss: -108.4696 kl_div: 27.0916, bce loss: 92.0339
192, reconstruction_loss: -106.7396 kl_div: 26.3951, bce loss: 88.0601
193, reconstruction_loss: -112.2762 kl_div: 24.3684, bce loss: 86.4173
194, reconstruction_loss: -107.1901 kl_div: 23.0927, bce loss: 88.7274
195, reconstruction_loss: -103.7179 kl_div: 23.4410, bce loss: 90.8739
196, reconstruction_loss: -96.2321 kl_div: 25.9194, bce loss: 89.5333
197, reconstruction_loss: -100.5353 kl_div: 26.6028, bce loss: 86.9135
198, reconstruction_loss: -107.1995 kl_div: 25.4292, bce loss: 88.2089
199, reconstruction_loss: -105.7879 kl_div: 24.3120, bce loss: 92.0122
200, reconstruction_loss: -109.1478 kl_div: 24.6367, bce loss: 91.7246
201, reconstruction_loss: -109.4543 kl_div: 22.5533, bce loss: 89.2400
202, reconstruction_loss: -106.9619 kl_div: 21.7029, bce loss: 87.0210
203, reconstruction_loss: -112.9007 kl_div: 22.1636, bce loss: 87.4892
204, reconstruction_loss: -111.4675 kl_div: 22.7668, bce loss: 89.8608
205, reconstruction_loss: -106.0856 kl_div: 24.5900, bce loss: 92.5926
206, reconstruction_loss: -106.7395 kl_div: 27.2741, bce loss: 90.4656
207, reconstruction_loss: -108.9089 kl_div: 28.3093, bce loss: 86.7272
